PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
CHE,0,1876,1876,1,f,36,1,TU,2,O,111,.,.,.,1
CHE,0,1876,1876,1,f,37,1,TL,2,O,104,.,.,.,1
CHE,0,1876,1876,1,f,37,1,TU,2,O,127,.,.,.,1
CHE,0,1876,1876,1,f,38,1,TL,2,O,111,.,.,.,1
CHE,0,1876,1876,1,f,38,1,TU,2,O,122,.,.,.,1
CHE,0,1876,1876,1,f,39,1,TL,2,O,101,.,.,.,1
CHE,0,1876,1876,1,f,39,1,TU,2,O,128,.,.,.,1
CHE,0,1876,1876,1,f,40,1,TL,2,O,102,.,.,.,1
CHE,0,1876,1876,1,f,40,1,TU,2,O,98,.,.,.,1
CHE,0,1876,1876,1,f,41,1,TL,2,O,94,.,.,.,1
CHE,0,1876,1876,1,f,41,1,TU,2,O,101,.,.,.,1
CHE,0,1876,1876,1,f,42,1,TL,2,O,108,.,.,.,1
CHE,0,1876,1876,1,f,42,1,TU,2,O,96,.,.,.,1
CHE,0,1876,1876,1,f,43,1,TL,2,O,91,.,.,.,1
CHE,0,1876,1876,1,f,43,1,TU,2,O,114,.,.,.,1
CHE,0,1876,1876,1,f,44,1,TL,2,O,101,.,.,.,1
CHE,0,1876,1876,1,f,44,1,TU,2,O,105,.,.,.,1
CHE,0,1876,1876,1,f,45,1,TL,2,O,116,.,.,.,1
CHE,0,1876,1876,1,f,45,1,TU,2,O,106,.,.,.,1
CHE,0,1876,1876,1,f,46,1,TL,2,O,111,.,.,.,1
CHE,0,1876,1876,1,f,46,1,TU,2,O,97,.,.,.,1
CHE,0,1876,1876,1,f,47,1,TL,2,O,93,.,.,.,1
CHE,0,1876,1876,1,f,47,1,TU,2,O,119,.,.,.,1
CHE,0,1876,1876,1,f,48,1,TL,2,O,91,.,.,.,1
CHE,0,1876,1876,1,f,48,1,TU,2,O,122,.,.,.,1
CHE,0,1876,1876,1,f,49,1,TL,2,O,107,.,.,.,1
CHE,0,1876,1876,1,f,49,1,TU,2,O,114,.,.,.,1
CHE,0,1876,1876,1,f,50,1,TL,2,O,134,.,.,.,1
CHE,0,1876,1876,1,f,50,1,TU,2,O,124,.,.,.,1
CHE,0,1876,1876,1,f,51,1,TL,2,O,120,.,.,.,1
CHE,0,1876,1876,1,f,51,1,TU,2,O,121,.,.,.,1
CHE,0,1876,1876,1,f,52,1,TL,2,O,139,.,.,.,1
CHE,0,1876,1876,1,f,52,1,TU,2,O,133,.,.,.,1
CHE,0,1876,1876,1,f,53,1,TL,2,O,129,.,.,.,1
CHE,0,1876,1876,1,f,53,1,TU,2,O,156,.,.,.,1
CHE,0,1876,1876,1,f,54,1,TL,2,O,146,.,.,.,1
CHE,0,1876,1876,1,f,54,1,TU,2,O,163,.,.,.,1
CHE,0,1876,1876,1,f,55,1,TL,2,O,141,.,.,.,1
CHE,0,1876,1876,1,f,55,1,TU,2,O,187,.,.,.,1
CHE,0,1876,1876,1,f,56,1,TL,2,O,164,.,.,.,1
CHE,0,1876,1876,1,f,56,1,TU,2,O,169,.,.,.,1
CHE,0,1876,1876,1,f,57,1,TL,2,O,153,.,.,.,1
CHE,0,1876,1876,1,f,57,1,TU,2,O,153,.,.,.,1
CHE,0,1876,1876,1,f,58,1,TL,2,O,119,.,.,.,1
CHE,0,1876,1876,1,f,58,1,TU,2,O,134,.,.,.,1
CHE,0,1876,1876,1,f,59,1,TL,2,O,158,.,.,.,1
CHE,0,1876,1876,1,f,59,1,TU,2,O,210,.,.,.,1
CHE,0,1876,1876,1,f,60,1,TL,2,O,177,.,.,.,1
CHE,0,1876,1876,1,f,60,1,TU,2,O,239,.,.,.,1
CHE,0,1876,1876,1,f,61,1,TL,2,O,182,.,.,.,1
CHE,0,1876,1876,1,f,61,1,TU,2,O,204,.,.,.,1
CHE,0,1876,1876,1,f,62,1,TL,2,O,205,.,.,.,1
CHE,0,1876,1876,1,f,62,1,TU,2,O,204,.,.,.,1
